municipality_code,municipality_name,prefecture,establishment_count_available,area_km2_available,commercial_density_available,establishment_count,commercial_density,source_table_id,economic_census_year,notes
14151,相模原市緑区,14,YES,YES,YES,5659,22.29,0004005655,2021,establishments/area_km2
14152,相模原市中央区,14,YES,YES,YES,8462,229.51,0004005655,2021,establishments/area_km2
14153,相模原市南区,14,YES,YES,YES,7465,195.88,0004005655,2021,establishments/area_km2
14201,横須賀市,14,YES,YES,YES,11677,115.84,0004005655,2021,establishments/area_km2
14203,平塚市,14,YES,YES,YES,9277,137.09,0004005655,2021,establishments/area_km2
14204,鎌倉市,14,YES,YES,YES,7137,179.96,0004005655,2021,establishments/area_km2
14205,藤沢市,14,YES,YES,YES,13164,189.24,0004005655,2021,establishments/area_km2
14206,小田原市,14,YES,YES,YES,7535,66.33,0004005655,2021,establishments/area_km2
14207,茅ヶ崎市,14,YES,YES,YES,6296,176.48,0004005655,2021,establishments/area_km2
14208,逗子市,14,YES,YES,YES,1829,105.87,0004005655,2021,establishments/area_km2
14210,三浦市,14,YES,YES,YES,1659,51.76,0004005655,2021,establishments/area_km2
14211,秦野市,14,YES,YES,YES,4343,41.86,0004005655,2021,establishments/area_km2
14212,厚木市,14,YES,YES,YES,9435,100.56,0004005655,2021,establishments/area_km2
14213,大和市,14,YES,YES,YES,6955,256.75,0004005655,2021,establishments/area_km2
14214,伊勢原市,14,YES,YES,YES,3434,61.81,0004005655,2021,establishments/area_km2
14215,海老名市,14,YES,YES,YES,4386,164.97,0004005655,2021,establishments/area_km2
14216,座間市,14,YES,YES,YES,3280,186.72,0004005655,2021,establishments/area_km2
14217,南足柄市,14,YES,YES,YES,1213,15.73,0004005655,2021,establishments/area_km2
14218,綾瀬市,14,YES,YES,YES,2787,125.87,0004005655,2021,establishments/area_km2
14301,葉山町,14,YES,YES,YES,971,56.98,0004005655,2021,establishments/area_km2
14321,寒川町,14,YES,YES,YES,1687,126.48,0004005655,2021,establishments/area_km2
14341,大磯町,14,YES,YES,YES,958,55.16,0004005655,2021,establishments/area_km2
14342,二宮町,14,YES,YES,YES,887,97.74,0004005655,2021,establishments/area_km2
14361,中井町,14,YES,YES,YES,466,23.31,0004005655,2021,establishments/area_km2
14362,大井町,14,YES,YES,YES,656,45.62,0004005655,2021,establishments/area_km2
14363,松田町,14,YES,YES,YES,511,13.54,0004005655,2021,establishments/area_km2
14364,山北町,14,YES,YES,YES,427,1.9,0004005655,2021,establishments/area_km2
14366,開成町,14,YES,YES,YES,650,99.24,0004005655,2021,establishments/area_km2
14382,箱根町,14,YES,YES,YES,1321,14.23,0004005655,2021,establishments/area_km2
14383,真鶴町,14,YES,YES,YES,293,41.58,0004005655,2021,establishments/area_km2
14384,湯河原町,14,YES,YES,YES,1138,27.78,0004005655,2021,establishments/area_km2
14401,愛川町,14,YES,YES,YES,1539,44.9,0004005655,2021,establishments/area_km2
14402,清川村,14,YES,YES,YES,126,1.77,0004005655,2021,establishments/area_km2
